Mcg,Gvh,Alm,Mit,Erl,Vac,Nuc,Class
0.53,0.54,0.43,0.18,0.5,0.53,0.31,negative
0.4,0.37,0.54,0.13,0.5,0.48,0.22,negative
0.5,0.42,0.57,0.49,0.5,0.48,0.27,negative
0.45,0.4,0.43,0.22,0.5,0.51,0.48,negative
0.38,0.48,0.51,0.13,0.5,0.5,0.32,negative
0.49,0.48,0.52,0.2,0.5,0.55,0.22,negative
0.36,0.39,0.54,0.16,0.5,0.5,0.28,negative
0.54,0.53,0.48,0.14,0.5,0.49,0.33,negative
0.37,0.48,0.5,0.26,0.5,0.52,0.39,negative
0.25,0.39,0.5,0.23,0.5,0.5,0.28,negative
0.49,0.71,0.54,0.13,0.5,0.58,0.22,negative
0.56,0.5,0.56,0.26,0.5,0.53,0.27,negative
0.41,0.53,0.41,0.15,0.5,0.54,0.25,negative
0.5,0.45,0.53,0.21,0.5,0.28,0.22,negative
0.42,0.28,0.51,0.23,0.5,0.53,0.27,negative
0.33,0.35,0.56,0.19,0.5,0.5,0.22,negative
0.45,0.48,0.56,0.56,0.5,0.47,0.22,negative
0.56,0.59,0.54,0.18,0.5,0.48,0.46,negative
0.33,0.39,0.52,0.09,0.5,0.47,0.28,negative
0.48,0.41,0.54,0.39,0.5,0.51,0.22,negative
0.3,0.3,0.46,0.32,0.5,0.45,0.22,negative
0.38,0.26,0.6,0.1,0.5,0.48,0.44,negative
0.68,0.39,0.5,0.15,0.5,0.48,0.37,negative
0.62,0.41,0.52,0.17,0.5,0.48,0.22,negative
0.52,0.37,0.48,0.13,0.5,0.55,0.22,negative
0.32,0.48,0.49,0.17,0.5,0.47,0.22,negative
0.34,0.35,0.58,0.2,0.5,0.46,0.32,negative
0.33,0.21,0.53,0.15,1,0.52,0.5,negative
0.49,0.45,0.57,0.24,0.5,0.47,0.38,negative
0.4,0.28,0.48,0.06,0.5,0.49,0.42,negative
0.51,0.39,0.56,0.25,0.5,0.51,0.33,negative
0.37,0.44,0.51,0.56,0.5,0.5,0.38,negative
0.29,0.4,0.41,0.48,0.5,0.53,0.3,negative
0.24,0.41,0.47,0.16,0.5,0.51,0.38,negative
0.61,0.39,0.53,0.14,0.5,0.43,0.26,negative
0.39,0.16,0.59,0.08,0.5,0.51,0.27,negative
0.33,0.28,0.5,0.4,0.5,0.46,0.61,negative
0.51,0.55,0.56,0.18,0.5,0.5,0.38,negative
0.39,0.44,0.54,0.24,0.5,0.51,0.49,negative
0.43,0.48,0.53,0.18,0.5,0.46,0.22,negative
0.47,0.43,0.48,0.16,0.5,0.46,0.27,negative
0.52,0.5,0.51,0.2,0.5,0.51,0.22,negative
0.33,0.28,0.52,0.15,0.5,0.51,0.86,negative
0.36,0.48,0.5,0.13,0.5,0.49,0.6,negative
0.45,0.54,0.49,0.29,0.5,0.49,0.25,negative
0.55,0.59,0.53,0.15,0.5,0.49,0.22,negative
0.31,0.39,0.55,0.28,0.5,0.46,0.31,negative
0.43,0.41,0.51,0.34,0.5,0.49,0.28,negative
0.64,0.5,0.53,0.1,0.5,0.51,0.22,negative
0.41,0.52,0.56,0.26,0.5,0.48,0.32,negative
0.48,0.47,0.59,0.41,0.5,0.56,0.27,negative
0.49,0.49,0.51,0.29,0.5,0.52,0.71,negative
0.41,0.52,0.51,0.22,0.5,0.52,0.44,negative
0.51,0.61,0.5,0.23,0.5,0.52,0.61,negative
0.54,0.53,0.53,0.17,0.5,0.51,0.39,negative
0.53,0.46,0.54,0.37,0.5,0.51,0.3,negative
0.58,0.31,0.6,0.12,0.5,0.47,0.33,negative
0.49,0.67,0.5,0.28,0.5,0.43,0.22,negative
0.44,0.33,0.55,0.16,0.5,0.49,0.22,negative
0.44,0.45,0.53,0.19,0.5,0.41,0.28,negative
0.57,0.55,0.52,0.16,0.5,0.49,0.39,negative
0.32,0.49,0.53,0.28,0.5,0.5,0.5,negative
0.35,0.42,0.56,0.28,0.5,0.47,0.22,negative
0.46,0.41,0.58,0.1,0.5,0.48,0.22,negative
0.57,0.51,0.58,0.22,0.5,0.51,0.22,negative
0.47,0.47,0.54,0.19,0.5,0.51,0.33,negative
0.34,0.58,0.5,0.26,0.5,0.51,0.22,negative
0.55,0.45,0.58,0.25,0.5,0.49,0.22,negative
0.4,0.66,0.34,0.21,0.5,0.52,0.26,negative
0.42,0.21,0.59,0.3,0.5,0.47,0.27,negative
0.35,0.4,0.44,0.25,0.5,0.53,0.57,negative
0.45,0.49,0.57,0.25,0.5,0.48,0.22,negative
0.56,0.51,0.32,0.49,0.5,0.48,0.22,negative
0.37,0.58,0.5,0.22,0.5,0.47,0.22,negative
0.47,0.45,0.51,0.33,0.5,0.46,0.26,negative
0.5,0.36,0.64,0.37,0.5,0.37,0.33,negative
0.43,0.44,0.64,0.19,0.5,0.38,0.33,negative
0.72,0.51,0.52,0.08,0.5,0.54,0.22,negative
0.35,0.41,0.53,0.27,0.5,0.47,0.29,negative
0.56,0.49,0.54,0.15,0.5,0.5,0.35,negative
0.57,0.37,0.43,0.27,0.5,0.53,0.28,negative
0.57,0.49,0.61,0.26,0.5,0.52,0.22,negative
0.48,0.45,0.63,0.19,0.5,0.58,0.22,negative
0.34,0.48,0.47,0.19,0.5,0.5,0.3,negative
0.54,0.57,0.55,0.18,0.5,0.5,0.22,negative
0.38,0.44,0.55,0.44,0.5,0.47,0.51,negative
0.4,0.3,0.57,0.13,0.5,0.46,0.22,negative
0.27,0.31,0.55,0.13,0.5,0.5,0.22,negative
0.52,0.46,0.56,0.25,0.5,0.52,0.22,negative
0.44,0.5,0.55,0.24,0.5,0.48,0.22,negative
0.34,0.47,0.48,0.32,0.5,0.42,0.22,negative
0.5,0.56,0.63,0.25,0.5,0.42,0.22,negative
0.46,0.53,0.47,0.37,0.5,0.51,0.36,negative
0.31,0.6,0.65,0.18,0.5,0.46,0.22,negative
0.57,0.42,0.63,0.22,0.5,0.68,0.32,negative
0.37,0.45,0.53,0.14,0.5,0.49,0.22,negative
0.38,0.38,0.54,0.24,0.5,0.54,0.22,negative
0.36,0.49,0.55,0.21,0.5,0.55,0.33,negative
0.29,0.4,0.5,0.16,0.5,0.51,0.34,negative
0.37,0.3,0.51,0.15,0.5,0.58,0.26,negative
0.44,0.62,0.53,0.27,0.5,0.49,0.22,negative
0.56,0.61,0.52,0.19,0.5,0.52,0.32,negative
0.6,0.57,0.52,0.14,0.5,0.46,0.48,negative
0.42,0.38,0.52,0.29,0.5,0.42,0.22,negative
0.41,0.46,0.58,0.08,0.5,0.51,0.28,negative
0.46,0.49,0.55,0.18,0.5,0.56,0.22,negative
0.47,0.37,0.46,0.28,0.5,0.52,0.99,negative
0.48,0.5,0.47,0.29,0.5,0.46,0.27,negative
0.49,0.49,0.52,0.18,0.5,0.51,0.25,negative
0.54,0.59,0.57,0.34,0.5,0.49,0.22,negative
0.47,0.44,0.53,0.18,0.5,0.47,0.29,negative
0.4,0.49,0.53,0.23,0.5,0.44,0.26,negative
0.45,0.65,0.51,0.17,0.5,0.49,0.22,negative
0.42,0.42,0.55,0.31,0.5,0.43,0.22,negative
0.45,0.41,0.53,0.49,0.5,0.49,0.31,negative
0.42,0.28,0.49,0.22,0.5,0.55,0.34,negative
0.47,0.5,0.47,0.22,0.5,0.53,0.45,negative
0.33,0.42,0.55,0.23,0.5,0.52,0.43,negative
0.37,0.47,0.49,0.12,0.5,0.47,0.31,negative
0.32,0.6,0.48,0.13,0.5,0.53,0.22,negative
0.46,0.56,0.56,0.25,0.5,0.43,0.22,negative
0.47,0.55,0.57,0.17,0.5,0.52,0.66,negative
0.19,0.16,0.68,0.36,0.5,0.49,0.21,negative
0.47,0.56,0.51,0.2,0.5,0.52,0.59,negative
0.4,0.75,0.44,0.12,0.5,0.49,0.22,negative
0.48,0.55,0.58,0.18,0.5,0.38,0.69,negative
0.33,0.47,0.55,0.24,0.5,0.45,0.67,negative
0.66,0.43,0.57,0.6,0.5,0.19,0.33,negative
0.55,0.4,0.62,0.22,0.5,0.37,0.28,negative
0.33,0.46,0.6,0.18,0.5,0.51,0.26,negative
0.51,0.5,0.54,0.11,0.5,0.6,0.22,negative
0.54,0.6,0.57,0.17,0.5,0.44,0.22,negative
0.36,0.32,0.55,0.27,0.5,0.47,0.43,negative
0.46,0.41,0.45,0.23,0.5,0.48,0.22,negative
0.4,0.39,0.6,0.23,0.5,0.52,0.31,negative
0.57,0.55,0.51,0.18,0.5,0.51,0.43,negative
0.44,0.43,0.46,0.28,0.5,0.45,0.29,negative
0.46,0.5,0.5,0.28,0.5,0.5,0.37,negative
0.38,0.58,0.46,0.21,0.5,0.52,0.22,negative
0.27,0.46,0.52,0.17,0.5,0.49,0.44,negative
0.52,0.45,0.45,0.13,0.5,0.48,0.22,negative
0.37,0.29,0.45,0.15,0.5,0.49,0.22,negative
0.37,0.48,0.67,0.37,0.5,0.56,0.62,negative
0.44,0.59,0.54,0.18,0.5,0.49,0.22,negative
0.48,0.65,0.36,0.24,0.5,0.54,0.31,negative
0.59,0.49,0.45,0.22,0.5,0.45,0.31,negative
0.73,0.52,0.59,0.25,0.5,0.51,0.22,negative
0.5,0.43,0.5,0.17,0.5,0.46,0.47,negative
0.23,0.13,0.51,0.16,0.5,0.53,0.51,negative
0.49,0.6,0.54,0.35,0.5,0.53,0.46,negative
0.52,0.31,0.56,0.16,0.5,0.55,0.22,negative
0.49,0.48,0.51,0.21,0.5,0.53,0.22,negative
0.49,0.6,0.42,0.18,0.5,0.58,0.28,negative
0.6,0.62,0.54,0.11,0.5,0.51,0.22,negative
0.55,0.47,0.53,0.2,0.5,0.4,0.22,negative
0.47,0.32,0.51,0.24,0.5,0.54,0.27,negative
0.53,0.25,0.59,0.27,0.5,0.45,0.26,negative
0.31,0.5,0.54,0.32,0.5,0.53,0.31,negative
0.25,0.33,0.48,0.18,0.5,0.42,0.33,negative
0.44,0.39,0.63,0.11,0.5,0.49,0.26,negative
0.38,0.42,0.47,0.12,0.5,0.47,0.53,negative
0.19,0.66,0.6,0.14,0.5,0.2,0.25,negative
0.38,0.51,0.56,0.21,0.5,0.48,0.31,negative
0.45,0.57,0.52,0.21,0.5,0.54,0.38,negative
0.66,0.65,0.53,0.17,0.5,0.47,0.66,negative
0.48,0.54,0.56,0.29,0.5,0.51,0.43,negative
0.58,0.64,0.42,0.3,0.5,0.54,0.22,negative
0.58,0.37,0.58,0.16,0.5,0.51,0.22,negative
0.48,0.17,0.37,0.33,0.5,0.44,0.36,negative
0.47,0.47,0.5,0.19,0.5,0.51,0.26,negative
0.55,0.38,0.52,0.16,0.5,0.49,0.64,negative
0.41,0.39,0.61,0.17,0.5,0.5,0.61,negative
0.41,0.56,0.53,0.16,0.5,0.55,0.26,negative
0.44,0.65,0.49,0.16,0.5,0.48,0.31,negative
0.49,0.51,0.52,0.13,0.5,0.51,0.33,negative
0.45,0.4,0.56,0.15,0.5,0.52,0.22,negative
0.55,0.79,0.45,0.25,0.5,0.51,0.22,negative
0.58,0.51,0.63,0.2,0.5,0.5,0.42,negative
0.63,0.58,0.57,0.1,0.5,0.52,0.33,negative
0.54,0.67,0.56,0.15,0.5,0.57,0.33,negative
0.41,0.59,0.65,0.14,0.5,0.49,0.33,negative
0.47,0.38,0.5,0.15,0.5,0.49,0.47,negative
0.33,0.17,0.52,0.13,0.5,0.51,0.75,negative
0.47,0.46,0.53,0.12,0.5,0.51,0.25,negative
0.57,0.29,0.63,0.22,0.5,0.49,0.27,negative
0.52,0.49,0.59,0.21,0.5,0.47,0.22,negative
0.41,0.42,0.53,0.17,0.5,0.48,0.58,negative
0.45,0.36,0.5,0.19,0.5,0.53,0.7,negative
0.53,0.51,0.54,0.21,0.5,0.45,0.22,negative
0.49,0.38,0.49,0.15,0.5,0.53,0.25,negative
0.5,0.5,0.48,0.34,0.5,0.52,0.27,negative
0.5,0.43,0.56,0.17,0.5,0.35,0.22,negative
0.36,0.52,0.61,0.33,0.5,0.52,0.37,negative
0.49,0.36,0.47,0.28,0.5,0.56,0.54,negative
0.34,0.42,0.48,0.19,0.5,0.46,0.31,negative
0.6,0.57,0.63,0.22,0.5,0.5,0.49,negative
0.53,0.44,0.54,0.52,0.5,0.49,0.38,negative
0.56,0.49,0.47,0.13,0.5,0.52,0.22,negative
0.55,0.49,0.6,0.18,0.5,0.51,0.22,negative
0.64,0.56,0.52,0.17,0.5,0.54,0.47,negative
0.4,0.45,0.45,0.15,0.5,0.53,0.48,negative
0.45,0.51,0.43,0.22,0.5,0.57,0.22,negative
0.57,0.53,0.6,0.28,0.5,0.52,0.45,negative
0.32,0.3,0.57,0.38,0.5,0.5,0.25,negative
0.28,0.41,0.46,0.18,0.5,0.47,0.39,negative
0.25,0.41,0.47,0.14,0.5,0.56,0.68,negative
0.4,0.44,0.47,0.25,0.5,0.54,0.56,negative
0.29,0.39,0.46,0.36,0.5,0.51,0.22,negative
0.54,0.54,0.56,0.18,0.5,0.46,0.29,negative
0.58,0.44,0.45,0.32,0.5,0.52,0.37,negative
0.4,0.4,0.44,0.37,0.5,0.53,0.25,negative
0.47,0.4,0.63,0.19,0.5,0.52,0.32,negative
0.33,0.38,0.47,0.14,0.5,0.51,0.47,negative
0.38,0.44,0.57,0.14,0.5,0.53,0.52,negative
0.4,0.43,0.49,0.17,0.5,0.51,0.36,negative
0.34,0.24,0.51,0.15,0.5,0.54,0.4,negative
0.35,0.29,0.46,0.14,0.5,0.54,0.66,negative
0.36,0.48,0.61,0.26,0.5,0.5,0.16,negative
0.41,0.25,0.59,0.44,0.5,0.6,0.69,negative
0.57,0.59,0.49,0.86,0.5,0.47,0.22,negative
0.38,0.4,0.39,0.19,0.5,0.46,0.62,negative
0.41,0.47,0.5,0.14,0.5,0.53,0.37,negative
0.25,0.4,0.52,0.15,0.5,0.56,0.28,negative
0.58,0.56,0.38,0.39,0.5,0.54,0.57,negative
0.59,0.67,0.54,0.19,0.5,0.48,0.6,negative
0.47,0.43,0.61,0.4,0.5,0.48,0.47,negative
0.43,0.4,0.6,0.16,0.5,0.53,0.39,negative
0.37,0.36,0.56,0.18,0.5,0.48,0.26,positive
0.74,0.57,0.51,0.28,0.5,0.58,0.22,positive
0.7,0.65,0.54,0.28,0.5,0.6,0.4,positive
0.36,0.68,0.38,0.08,0.5,0.53,0.25,positive
0.42,0.32,0.48,0.16,0.5,0.55,0.22,positive
0.28,0.46,0.26,0.18,0.5,0.39,0.22,positive
0.51,0.46,0.49,0.21,0.5,0.55,0.22,positive
0.8,0.82,0.57,0.26,0.5,0.57,0.27,positive
0.46,0.49,0.45,0.28,0.5,0.55,0.22,positive
0.4,0.36,0.55,0.15,0.5,0.53,0.22,positive
0.4,0.39,0.33,0.17,0.5,0.51,0.31,positive
0.75,0.69,0.48,0.13,0.5,0.57,0.4,positive
0.69,0.7,0.5,0.3,0.5,0.54,0.22,positive
0.63,0.55,0.53,0.51,0.5,0.55,0.22,positive
0.7,0.78,0.53,0.24,0.5,0.48,0.22,positive
0.58,0.43,0.32,0.11,0.5,0.49,0.22,positive
0.49,0.5,0.42,0.43,0.5,0.5,0.36,positive
0.55,0.44,0.5,0.09,0.5,0.55,0.22,positive
0.36,0.51,0.51,0.17,0.5,0.52,0.22,positive
0.68,0.68,0.35,0.16,0.5,0.62,0.22,positive
